team,home_clutch_wins,home_clutch_games,away_clutch_wins,away_clutch_games,away_win_pct,clutch_win_pct,home_win_pct,overall_win_pct
Atlanta Hawks,7,12,7,12,58.33,58.33,51.22,47.62
Brooklyn Nets,6,11,6,16,37.5,44.44,29.27,31.71
Houston Rockets,7,11,8,14,57.14,60.0,70.45,62.07
Charlotte Hornets,8,15,6,12,50.0,51.85,29.27,23.17
Utah Jazz,4,13,1,7,14.29,25.0,24.39,20.73
Memphis Grizzlies,5,12,6,13,46.15,44.0,61.36,55.68
Los Angeles Clippers,5,10,8,15,53.33,52.0,72.09,59.77
Phoenix Suns,6,7,4,12,33.33,52.63,58.54,43.9
Sacramento Kings,6,15,5,11,45.45,42.31,47.62,48.19
Minnesota Timberwolves,6,15,8,12,66.67,51.85,62.79,60.92
Portland Trail Blazers,6,9,4,7,57.14,62.5,53.66,43.9
New Orleans Pelicans,4,14,2,8,25.0,27.27,34.15,25.61
Denver Nuggets,6,13,8,11,72.73,58.33,63.64,60.92
San Antonio Spurs,3,9,6,13,46.15,40.91,48.78,41.46
Los Angeles Lakers,5,8,7,14,50.0,54.55,72.73,58.62
Indiana Pacers,9,12,4,8,50.0,65.0,72.73,62.07
Philadelphia 76ers,5,11,4,8,50.0,47.37,29.27,29.27
Orlando Magic,8,14,4,7,57.14,57.14,54.55,48.86
Washington Wizards,3,7,7,7,100.0,71.43,19.51,21.95
Toronto Raptors,4,10,4,11,36.36,38.1,43.9,36.59
Chicago Bulls,5,10,5,7,71.43,58.82,42.86,46.99
Boston Celtics,5,9,5,9,55.56,55.56,70.45,74.71
Milwaukee Bucks,2,6,6,14,42.86,40.0,65.91,56.82
Cleveland Cavaliers,7,9,4,9,44.44,61.11,83.72,79.07
Miami Heat,2,12,6,13,46.15,32.0,44.19,44.32
Detroit Pistons,6,14,7,10,70.0,54.17,51.16,52.87
New York Knicks,5,9,9,12,75.0,66.67,63.64,62.07
Oklahoma City Thunder,0,2,3,5,60.0,42.86,84.44,82.76
Dallas Mavericks,4,9,5,14,35.71,39.13,55.0,47.62
Golden State Warriors,9,13,4,10,40.0,56.52,61.36,59.09
